Attribut,Counter
spidssmag,1
frugtiglugt,2
overgæretale,1
gæraroma,1
gærsmag,3
mørkeremalt,1
ristetmalt,1
mindrekulsyrer,1
cider,2
megetbesk,1
blomstret,1
langvarig,1
fersken,3
intensitetstiger,1
syre,1
aggresiv,1
mystisk,1
aggressiv,2
bitterhed,2
mosaichumle,2
eldoradohumle,1
letcitrus,1
kraftigeftersmag,3
kuldioxidrig,1
svag,3
smagsrampe,1
gæretcitrus,4
svageftersmag,1
svagtrøget,2
tungsødme,1
ikkekraftig,3
nelliker,3
svagtappelsin,1
kompleks,2
syrligæble,1
weissbier,3
gær,2
overgæret,1
rævepis,2
modig,1
frugtigt,3
julet,1
nelikker,1
appelsiner,2
fyldermeget,1
blødismagen,2
overaskelse,1
lugtersomdensmager,1
hvede,2
dybduft,1
kraftigt,1
forsvinderhurtigt,1
forsvinder,1
korteftersmag,1
sidderikkepåtungen,1
megetmild,2
megetsød,2
meremarkantsmag,1
afrundet,1
letbitter,2
stikkerpåtungen,2
kildertungen,1
brændtmarcipan,2
ru,1
honning,3
småcremet,1
lidtkrydret,1
bliverimunden,1
tykt,1
brændtsmag,2
tungismagen,1
porter,2
lysereendporter,1
kortvarighedafsmagen,1
humleduft,1
stikkendeduft,1
frugter,1
frugtsmag,1
nødder,2
kaffebolche,1
10,2
lidttungere,1
mindrevandet,1
stikkendepåtungen,1
kraftiglugt,1
bitterhedhængerimunden,1
hazyipa,1
neipa,1
højibu,1
citra,2
frugtighumle,1
citronkerne,1
syrligt,1
kratig,1
æbler,3
beske,1
stærkkuldioxid,1
mismatch(smagvs.duft),1
blomster,2
citrusagtig,1
smagerikkeafipa,1
menstadigbitter,1
ikkevammeltsød,1
eftersmagikkesuperstærkpgacitrusikkekraftig,1
pånippettilatsmageaffortyndetmedlimonade,1
saftigmenvandet,1
letikketung,1
sødistarten,1
bedreendentuborg,1
megetmerebitter,1
stærksmagkraftig,1
rundsmag,2
megetsur,2
smageraføl,1
megetgæret,1
megetsøde,1
klam,1
megetstærkeftersmag,1
vammelt,1
ikkefrugtagtigiftanden“ipa”,1
førstedelafsmagersvagifteftersmagdertagerover,1
krampe?,1
ikkesåmegetkraft,1
megetletismagen,1
ikkesærligstærkeftersmag,1
smagenafsødmevaredelængeretid,1
fylder,1
megetblødismagen,1
megetkraftignårmanfårdenimunden,1
meretykismagen,1
smagerafhonningudenatværesød,1
smagerafnogetsødtdererbrændtudendetsøde,1
ikkeengrimsmagbareikkesødt,1
grimsmag,1
overbemandedesmagsløg,1
rupåtungen,1
smagerbareafrøg,1
megetsvagfrugtigeftersmagmenmestafrøg,1
eftersmagafkaffe,1
ikkesåkraftigistarten,1
kraftigistartenmen“gårud”ogbliverfrugtsmag,1
kanikkesmagemegetandetendnødder,1
smagaffrugtførbitterhed,1
megetlilleeftersmagafbitreellerbeskeæbler,1
syrligandresmagekunneikkekommefrem,1
smagerikkeafæble,1
vandt,1
rugsomirugbrød,1
humlede,1
vandede,1
hummel,1
klassik,1
mystiskaroma,1
aromaafkanel,1
appelsin,1
nellike,3
mildbitter,1
citronkerner,1
dominerende,1
frugt(blommemåske),1
flad(iftsmagen,1
ikkebobler),1
metalsmag,1
tilgivende(alkoholfri),1
ikkesåkraftig,1
mørksmag,1
længereeftersmag,1
højprocentafalkohol,1
skarpsmag,1
langvarigsmag,1
meremetallisksmag,1
godebalancemellemhumlenogsøde,1
citraøl,1
minderomipa,1
ale(gæretvedhøjtemperatur),1
mindrekulsyre,1
mildereipa,1
mosaikhumle,1
syrligt(æble),1
eftersmagmedbitter,1
markantafrundetsmag,1
balanceretsmag,1
mangesmag,1
kaffe(kraftig),1
smagersomportermenerlys,1
humlen(stærk),1
bitterhedpåtungen,1
frisksommerliglet,1
smagerdyr,1
modsatteafkvalmende,1
smagerafsommer,1
smagerafatliggepåengræsplæne,1
,1
megetbitterogbliverhængendeimunden,1
retletatdrikke,1
sigerikkesåmeget,1
harikkenogetderudskillersig,1
bundfalds,1
smag,1
ikkeslemeftersmagforsvinderhurtigt,1
hængerkvalmendeimunden,1
hængerikke,1
voldsomsmag,2
ikkesåmegeteftersmag,1
lidttungereeftersmag,1
ikkesåmegetbitter,1
megetmildeftersmag,1
forfriskende,2
megetrøgetsombål,1
maltet,1
stærkspiritus,2
liggerikkeimunden,1
ikkeeftersmag,1
efterårsagtig,1
sureshots,1
smagerikkeafølmensyrligsodavand,1
ikkesødsodavand,1
megetstærk,1
gørmundentør,1
rosémenmegetkraftig,1
smagerikkeafsåmeget,1
flad(ikkesåmegetbrus),1
nødde,1
bitter(somenølskalvære),1
smagafbundslat,1
megetletipa,1
ingenbitterhed,1
flereprocenter,1
lidtstærkere,1
meresprittet,1
mindretør,1
formegethvede,1
ensmulemørk,1
øllebrød,2
smulesprittet,1
fyldighumle,1
skarpfisk,1
colavingummi,1
gammelvarmcola,1
tyndfornemmelse,1
bilolie,1
whiskey,2
sprittederosiner,1
fedtet,1
kunstigjordbær,2
børnevitaminermedjordbærsmag,1
tørrosé,1
syrligekirsebær(slik),1
kunstigcitron(autocitron),1
teknisk,1
godsmag,1
eftersmagaføl,1
ikkesåvedvarendeeftersmag,1
beesk,1
kildedepåtungen,1
gransmag,1
lavkulsyre,1
bitter(mereendentuborgclassic),1
krydretsmag,1
syrligistartenmedbittersmag,1
bittereftersmag(kort),1
eftersmagafkrydret,1
sødttilbittersmag,1
megetkulsyre,1
smulerøget,1
frugtundertoner,1
ikkesåbitter,1
eftersmagafkaramel,1
laverekulsyre,1
megetbittereftersmag,1
eftersmagafbær,1
smagenpåfrontenaftungen,1
tykkonsistens,1
dybkaramel,1
blødeftersmag,1
stout,1
sødeftersmag,1
lidtsød,2
megetsyrlig,1
mangebobler,1
lidteddike,1
godeftersmag,1
duftersødmenoverrasker,1
tungduft,1
anderledesendsmagen,1
ikkefrisk,1
frugtharlagtetpardage,1
bittert,1
gæretlugt,1
dufterafkaffe,1
svagtafrøg,1
duftermegetsød,1
kuldioxidikkedanskvandagtig(lidt),1
dufterafmereenddensmageraf,1
lidtrøg,1
tunglugt,1
ishlugt,1
letfrugtig,1
kardemomme,1
dybmenikkekraftig,1
chokolade(mereendsmagen),1
kaffelikør,1
aromaafkanel(menerkrydretogikkekanel,1
fordiderblevnedstemt),1
æble(tagestilbage),1
ikkestærkduft,1
duftenindikererhvadsmagenpræciser,1
banan,1
citrusfrugt,1
duftermegetanderledes,1
tungefterduft,1
sødliglugt,1
ikkeavinæsen,1
pilsner,1
ikkestærklugt,1
syrligfrugtig,1
ikkekraftigduft,1
meresyrligendsmag,1
portvin,1
syrligebær,1
smulecarlsbergduft,1
vestfyn,1
ølslatter,1
grøntuborgsomharståetogerblevetflad,1
ikkesåstærk,1
mildsødhed,1
næstenudenduft,1
lidtgær,1
megetblid,1
duftløs(måskebiaspgaforkølelse),1
fin,1
brændtsmør,1
pandekager,1
brændtemandler,1
askebæger,1
strandmedtang,1
ikkesåmeget,1
lidtblomstret,1
dufterafmeget,1
sodavandsis,1
ødelagtmælkebøtte,1
mjød,1
parfumeret,1
sæbe,1
tjære,1
tørv,1
mørkromogcola,1
jordbær,1
lugtaftis,1
standardøl(classic),1
friskfrugtigduft,1
rom,1
