Attribut,Counter
tørv duft ,1
springer i munden ,1
odense pilsner ,1
værtshus ,1
tjære duft ,1
tungere duft,1
bitter duft,1
tung eftersmag,1
ube fornemmelse i munden,1
røget smag,1
sherry duft ,1
vingummi duft ,1
spids ,1
askebæger duft ,1
whiskey duft  ,1
sportscola ,1
honningkage ,1
flad eftersmag ,1
gammel ,1
portvin duft ,1
lidt tung eftersmag,1
kraftig duft,1
stormende,1
sprittet,1
mandelig,1
hav,1
tanget,1
julelig,1
kuldioxid,1
sprittet rosiner ,1
cigaretter,1
langvarig eftersmag,1
træ,1
brændt ,1
chokolade,1
krads ,1
rose,1
